@M1[w] @M1[vgs] @M1[gm] @M1[gds] @M1[vdsat] @M1[vth] @M1[cgs] @M1[cgg] @M1[gmbs]
0.000295 0.319886 0.00211721 1.06283E-05 0.0547035 0.378207 -1.94106E-13 1.09252E-12 0.000492228
0.0003 0.319093 0.00211986 1.0621E-05 0.0545347 0.378207 -1.93283E-13 1.10802E-12 0.000492907
0.000305 0.318314 0.00212246 1.06141E-05 0.0543706 0.378207 -1.92483E-13 1.12355E-12 0.000493572
0.00031 0.317548 0.00212499 1.06075E-05 0.054211 0.378207 -1.91706E-13 1.1391E-12 0.000494224
0.000315 0.316796 0.00212748 1.06012E-05 0.0540558 0.378207 -1.9095E-13 1.15467E-12 0.000494863
0.00032 0.316056 0.00212991 1.05951E-05 0.0539047 0.378207 -1.90215E-13 1.17027E-12 0.000495489
0.000325 0.315328 0.00213229 1.05892E-05 0.0537577 0.378207 -1.89499E-13 1.18589E-12 0.000496104
0.00033 0.314613 0.00213463 1.05836E-05 0.0536144 0.378207 -1.88803E-13 1.20153E-12 0.000496708
0.000335 0.313908 0.00213691 1.05783E-05 0.0534749 0.378207 -1.88125E-13 1.21719E-12 0.0004973
0.00034 0.313215 0.00213916 1.05731E-05 0.0533388 0.378207 -1.87464E-13 1.23287E-12 0.000497882
0.000345 0.312533 0.00214136 1.05681E-05 0.0532062 0.378207 -1.86821E-13 1.24857E-12 0.000498454
0.00035 0.311862 0.00214353 1.05634E-05 0.0530769 0.378207 -1.86194E-13 1.26429E-12 0.000499016
0.000355 0.3112 0.00214565 1.05588E-05 0.0529507 0.378207 -1.85582E-13 1.28002E-12 0.000499569
0.00036 0.310549 0.00214774 1.05544E-05 0.0528275 0.378207 -1.84986E-13 1.29577E-12 0.000500113
0.000365 0.309907 0.00214979 1.05501E-05 0.0527073 0.378207 -1.84405E-13 1.31154E-12 0.000500648
0.00037 0.309274 0.0021518 1.0546E-05 0.0525898 0.378207 -1.83837E-13 1.32733E-12 0.000501174
0.000375 0.308651 0.00215378 1.05421E-05 0.0524751 0.378207 -1.83284E-13 1.34313E-12 0.000501693
0.00038 0.308036 0.00215573 1.05383E-05 0.052363 0.378207 -1.82743E-13 1.35895E-12 0.000502203
0.000385 0.30743 0.00215765 1.05346E-05 0.0522535 0.378207 -1.82215E-13 1.37478E-12 0.000502706
0.00039 0.306832 0.00215953 1.05311E-05 0.0521463 0.378207 -1.81699E-13 1.39063E-12 0.000503201
0.000395 0.306242 0.00216139 1.05276E-05 0.0520416 0.378207 -1.81196E-13 1.40649E-12 0.000503689
0.0004 0.305661 0.00216322 1.05244E-05 0.0519391 0.378207 -1.80703E-13 1.42236E-12 0.000504171
0.000405 0.305087 0.00216502 1.05212E-05 0.0518388 0.378207 -1.80222E-13 1.43825E-12 0.000504645
0.00041 0.30452 0.00216679 1.05181E-05 0.0517407 0.378207 -1.79751E-13 1.45415E-12 0.000505113
0.000415 0.303961 0.00216854 1.05151E-05 0.0516446 0.378207 -1.79291E-13 1.47006E-12 0.000505575
0.00042 0.303409 0.00217026 1.05123E-05 0.0515506 0.378207 -1.7884E-13 1.48599E-12 0.00050603
0.000425 0.302864 0.00217196 1.05095E-05 0.0514584 0.378207 -1.784E-13 1.50192E-12 0.00050648
0.00043 0.302325 0.00217363 1.05068E-05 0.0513682 0.378207 -1.77968E-13 1.51787E-12 0.000506923
0.000435 0.301794 0.00217528 1.05042E-05 0.0512797 0.378207 -1.77546E-13 1.53383E-12 0.000507362
0.00044 0.301269 0.00217691 1.05017E-05 0.0511931 0.378207 -1.77132E-13 1.54981E-12 0.000507794
0.000445 0.30075 0.00217852 1.04993E-05 0.0511081 0.378207 -1.76727E-13 1.56579E-12 0.000508221
0.00045 0.300237 0.00218011 1.04969E-05 0.0510248 0.378207 -1.7633E-13 1.58178E-12 0.000508644
0.000455 0.29973 0.00218167 1.04947E-05 0.0509431 0.378207 -1.75941E-13 1.59778E-12 0.000509061
0.00046 0.29923 0.00218322 1.04925E-05 0.050863 0.378207 -1.7556E-13 1.6138E-12 0.000509473
0.000465 0.298735 0.00218474 1.04903E-05 0.0507844 0.378207 -1.75186E-13 1.62982E-12 0.00050988
0.00047 0.298245 0.00218625 1.04883E-05 0.0507072 0.378207 -1.74819E-13 1.64585E-12 0.000510283
0.000475 0.297761 0.00218774 1.04863E-05 0.0506315 0.378207 -1.74459E-13 1.6619E-12 0.000510681
0.00048 0.297283 0.00218921 1.04843E-05 0.0505572 0.378207 -1.74107E-13 1.67795E-12 0.000511075
0.000485 0.29681 0.00219067 1.04824E-05 0.0504842 0.378207 -1.7376E-13 1.69401E-12 0.000511465
0.00049 0.296342 0.0021921 1.04806E-05 0.0504126 0.378207 -1.73421E-13 1.71008E-12 0.00051185
0.000495 0.295879 0.00219352 1.04788E-05 0.0503422 0.378207 -1.73087E-13 1.72615E-12 0.000512231
0.0005 0.295421 0.00219493 1.04771E-05 0.0502731 0.378207 -1.72759E-13 1.74224E-12 0.000512609
0.000505 0.294968 0.00219632 1.04754E-05 0.0502052 0.378207 -1.72438E-13 1.75833E-12 0.000512982
0.00051 0.294519 0.00219769 1.04738E-05 0.0501385 0.378207 -1.72122E-13 1.77444E-12 0.000513351
0.000515 0.294076 0.00219905 1.04723E-05 0.0500729 0.378207 -1.71811E-13 1.79055E-12 0.000513717
0.00052 0.293636 0.00220039 1.04707E-05 0.0500084 0.378207 -1.71506E-13 1.80667E-12 0.000514079
0.000525 0.293202 0.00220172 1.04693E-05 0.0499451 0.378207 -1.71206E-13 1.82279E-12 0.000514438
0.00053 0.29277 0.00220299 1.04676E-05 0.0498826 0.378207 -1.70907E-13 1.83892E-12 0.000514784
0.000535 0.292344 0.00220429 1.04662E-05 0.0498213 0.378207 -1.70617E-13 1.85506E-12 0.000515135
0.00054 0.291922 0.00220558 1.04648E-05 0.0497611 0.378207 -1.70332E-13 1.87121E-12 0.000515482
0.000545 0.291505 0.00220685 1.04635E-05 0.0497018 0.378207 -1.70051E-13 1.88736E-12 0.000515827
0.00055 0.291091 0.00220811 1.04622E-05 0.0496435 0.378207 -1.69775E-13 1.90352E-12 0.000516168
0.000555 0.290681 0.00220935 1.04609E-05 0.0495861 0.378207 -1.69503E-13 1.91969E-12 0.000516506
0.00056 0.290275 0.00221059 1.04597E-05 0.0495296 0.378207 -1.69235E-13 1.93587E-12 0.000516841
0.000565 0.289873 0.00221181 1.04585E-05 0.049474 0.378207 -1.68972E-13 1.95205E-12 0.000517172
0.00057 0.289475 0.00221302 1.04574E-05 0.0494193 0.378207 -1.68713E-13 1.96824E-12 0.000517501
0.000575 0.289081 0.00221422 1.04562E-05 0.0493654 0.378207 -1.68457E-13 1.98443E-12 0.000517827
0.00058 0.28869 0.00221541 1.04551E-05 0.0493124 0.378207 -1.68206E-13 2.00063E-12 0.00051815
0.000585 0.288302 0.00221658 1.04541E-05 0.0492602 0.378207 -1.67958E-13 2.01683E-12 0.000518471
0.00059 0.287918 0.00221775 1.0453E-05 0.0492087 0.378207 -1.67714E-13 2.03305E-12 0.000518788
0.000595 0.287538 0.0022189 1.0452E-05 0.0491581 0.378207 -1.67473E-13 2.04926E-12 0.000519103
0.0006 0.287161 0.00222004 1.0451E-05 0.0491082 0.378207 -1.67236E-13 2.06549E-12 0.000519415
0.000605 0.286787 0.00222118 1.04501E-05 0.049059 0.378207 -1.67003E-13 2.08171E-12 0.000519725
0.00061 0.286417 0.0022223 1.04491E-05 0.0490106 0.378207 -1.66772E-13 2.09795E-12 0.000520032
0.000615 0.28605 0.00222341 1.04482E-05 0.0489628 0.378207 -1.66545E-13 2.11419E-12 0.000520337
0.00062 0.285685 0.00222452 1.04473E-05 0.0489158 0.378207 -1.66321E-13 2.13043E-12 0.000520639
0.000625 0.285324 0.00222561 1.04464E-05 0.0488694 0.378207 -1.661E-13 2.14668E-12 0.000520939
0.00063 0.284966 0.0022267 1.04456E-05 0.0488237 0.378207 -1.65882E-13 2.16294E-12 0.000521236
0.000635 0.284612 0.00222777 1.04448E-05 0.0487787 0.378207 -1.65667E-13 2.1792E-12 0.000521531
0.00064 0.28426 0.00222884 1.0444E-05 0.0487343 0.378207 -1.65455E-13 2.19547E-12 0.000521824
0.000645 0.28391 0.0022299 1.04432E-05 0.0486904 0.378207 -1.65246E-13 2.21174E-12 0.000522114
0.00065 0.283564 0.00223095 1.04424E-05 0.0486473 0.378207 -1.65039E-13 2.22801E-12 0.000522403
0.000655 0.283221 0.00223199 1.04417E-05 0.0486047 0.378207 -1.64835E-13 2.24429E-12 0.000522689
0.00066 0.28288 0.00223302 1.04409E-05 0.0485626 0.378207 -1.64634E-13 2.26058E-12 0.000522973
0.000665 0.282542 0.00223404 1.04402E-05 0.0485212 0.378207 -1.64435E-13 2.27687E-12 0.000523255
0.00067 0.282207 0.00223506 1.04395E-05 0.0484803 0.378207 -1.64239E-13 2.29316E-12 0.000523535
0.000675 0.281874 0.00223607 1.04389E-05 0.0484399 0.378207 -1.64045E-13 2.30946E-12 0.000523812
0.00068 0.281545 0.00223707 1.04382E-05 0.0484001 0.378207 -1.63853E-13 2.32576E-12 0.000524088
0.000685 0.281217 0.00223806 1.04376E-05 0.0483608 0.378207 -1.63664E-13 2.34207E-12 0.000524362
0.00069 0.280892 0.00223905 1.04369E-05 0.0483221 0.378207 -1.63477E-13 2.35838E-12 0.000524634
0.000695 0.28057 0.00224002 1.04363E-05 0.0482838 0.378207 -1.63292E-13 2.3747E-12 0.000524904
